product_id,product_name,top_cat,price_disc,discount_pct,rating_count,pred_segment,true_segment,monthly_volume,revenue_baseline,revenue_uplift,inferred_placement,mismatch_flag,mismatch_revenue_loss
B07W9KYT62,"TP-Link AC1200 Archer A6 Smart WiFi, 5GHz Gigabit Dual Band MU-MIMO Wireless Internet Router, Long Range Coverage by 4 Antennas, Qualcomm Chipset",Computers&Accessories,2499.0,38.0,12679,UNMATCHED,UNMATCHED,352.19444444444446,880133.9166666667,44006.69583333334,SOCIAL_PROOF,1,132020.0875
B0123P3PWE,Rico IRPRO 1500 Watt Japanese Technology Electric Water Heater Immersion Rod Shockproof Protection & Stainless Steel Heating Element for Instant Heating| ISI Certified 1 Year Replacement Warranty,Home&Kitchen,999.0,7.0,9275,SOCIAL_PROOF,SOCIAL_PROOF,257.6388888888889,257381.25000000003,56623.87500000001,QUALITY_FIRST,1,38607.1875
B0B3RRWSF6,"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240*240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating",Electronics,1998.0,80.0,27696,DEAL_SEEKER,DEAL_SEEKER,769.3333333333334,1537128.0,584108.64,DEAL_SEEKER,0,0.0
B0B3RRWSF6,"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240*240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating",Electronics,1998.0,80.0,27709,DEAL_SEEKER,DEAL_SEEKER,769.6944444444445,1537849.5,584382.81,DEAL_SEEKER,0,0.0
B09P22HXH6,"Lenovo 300 FHD Webcam with Full Stereo Dual Built-in mics | FHD 1080P 2.1 Megapixel CMOS Camera |Privacy Shutter | Ultra-Wide 95 Lens | 360 Rotation | Flexible Mount, Plug-n-Play | Cloud Grey",Computers&Accessories,1890.0,66.0,10976,DEAL_SEEKER,DEAL_SEEKER,304.8888888888889,576240.0,218971.2,DEAL_SEEKER,0,0.0
B07YNHCW6N,Robustrion Smart Trifold Hard Back Flip Stand Case Cover for Apple iPad 10.2 Cover iPad 9th Generation Cover 2021 8th Gen 2020 7th Gen 2019 Generation Case - Black,Computers&Accessories,549.0,78.0,5556,DEAL_SEEKER,DEAL_SEEKER,154.33333333333334,84729.0,32197.02,DEAL_SEEKER,0,0.0
B09LRZYBH1,"KRISONS Thunder Speaker, Multimedia Home Theatre, Floor Standing Speaker, LED Display with Bluetooth, FM, USB, Micro SD Card, AUX Connectivity",Electronics,2299.0,43.0,282,UNMATCHED,UNMATCHED,7.833333333333333,18008.833333333332,900.4416666666666,SOCIAL_PROOF,1,2701.325
B008LN8KDM,Philips GC1920/28 1440-Watt Non-Stick Soleplate Steam Iron,Home&Kitchen,1849.0,12.0,7681,QUALITY_FIRST,QUALITY_FIRST,213.36111111111111,394504.69444444444,98626.17361111111,QUALITY_FIRST,0,0.0
B08FGNPQ9X,"Zinq UPS for Router, Mini UPS for 12V WiFi Router Broadband Modem with Upto 4 Hours Power Backup, Upto 2Amp, Works with Existing Adapter, Also Works with Set-top Box, Smart Camera, CCTV (Black)",Computers&Accessories,1199.0,60.0,10725,DEAL_SEEKER,DEAL_SEEKER,297.9166666666667,357202.0833333334,135736.7916666667,DEAL_SEEKER,0,0.0
B08QSC1XY8,"Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (2M, Grey)",Computers&Accessories,389.0,65.0,974,DEAL_SEEKER,DEAL_SEEKER,27.055555555555557,10524.611111111111,3999.3522222222223,DEAL_SEEKER,0,0.0
B08QSC1XY8,"Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (2M, Grey)",Computers&Accessories,389.0,65.0,974,DEAL_SEEKER,DEAL_SEEKER,27.055555555555557,10524.611111111111,3999.3522222222223,DEAL_SEEKER,0,0.0
B07XCM6T4N,STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black),Computers&Accessories,349.0,77.0,24791,DEAL_SEEKER,DEAL_SEEKER,688.6388888888889,240334.97222222222,91327.28944444444,DEAL_SEEKER,0,0.0
B00R1P3B4O,Fujifilm Instax Mini Single Pack 10 Sheets Instant Film for Fuji Instant Cameras,Electronics,549.0,0.0,4875,QUALITY_FIRST,QUALITY_FIRST,135.41666666666666,74343.75,18585.9375,QUALITY_FIRST,0,0.0
B09VKWGZD7,"AGARO Supreme High Pressure Washer, 1800 Watts, 120 Bars, 6.5L/Min Flow Rate, 8 Meters Outlet Hose, Portable, for Car,Bike and Home Cleaning Purpose, Black and Orange",Home&Kitchen,4789.0,47.0,1017,DEAL_SEEKER,DEAL_SEEKER,28.25,135289.25,51409.915,SOCIAL_PROOF,1,20293.3875
B08JV91JTK,JM SELLER 180 W 2021 Edition Electric Beater High Speed Hand Mixer Egg Beater for Cake Making and Whipping Cream with 7 Speed Control (White) with Free Spatula and Oil Brush,Home&Kitchen,474.0,64.0,550,DEAL_SEEKER,DEAL_SEEKER,15.277777777777779,7241.666666666667,2751.8333333333335,DEAL_SEEKER,0,0.0
B00H0B29DI,USHA Heat Convector 812 T 2000-Watt with Instant Heating Feature (Black),Home&Kitchen,2199.0,26.0,1558,UNMATCHED,UNMATCHED,43.27777777777778,95167.83333333333,4758.391666666666,QUALITY_FIRST,1,14275.175
B00HVXS7WC,"Bajaj Rex 500W Mixer Grinder with Nutri-Pro Feature, 3 Jars, White",Home&Kitchen,1999.0,38.0,41349,SOCIAL_PROOF,SOCIAL_PROOF,1148.5833333333333,2296018.083333333,505123.9783333333,SOCIAL_PROOF,0,0.0
B08YRMBK9R,"Candes 10 Litre Perfecto 5 Star Rated Automatic Instant Storage Electric Water Heater with Special Metal Body Anti Rust Coating With Installation Kit, 2KW Geyser (Ivory)",Home&Kitchen,3249.0,48.0,2569,DEAL_SEEKER,DEAL_SEEKER,71.36111111111111,231852.25,88103.855,SOCIAL_PROOF,1,34777.8375
B09NHVCHS9,Flix Micro Usb Cable For Smartphone (Black),Computers&Accessories,59.0,70.0,9378,DEAL_SEEKER,DEAL_SEEKER,260.5,15369.5,5840.41,DEAL_SEEKER,0,0.0
